city,vax_rate,active,lat,long,city2
אל סייד,7.67,NA,31.28252,34.91505,AlSayid Tribe
ירכא,42.28,NA,32.95435,35.21197,Yirka
חורפיש,54.02,0.0,33.01711,35.34835,Hurfeish
אבו רוקייק (שבט),4.39,NA,31.808840,35.109180,Abu Ruqayyeq
כפר ברא,43.38,0.0,32.13136,34.97079,Kafr Bara
עתלית,52.40,0.0,32.68889,34.94236,Atlit
הוואשלה (שבט),4.51,0.0,31.093174,34.979677,Hawashla
שייח' דנון,50.07,0.0,32.993280,35.146910,Sheikh Dannun
תל מונד,67.30,NA,32.24995,34.91737,Tel Mond
כפר ורדים,73.05,0.0,32.99385,35.27793,Kefar Weradim
סייד (שבט),4.53,NA,32.403490,35.034210,Sayyid
סאג'ור,54.43,NA,32.94266,35.34136,Sajur
טורעאן,49.17,NA,31.801910,35.191270,Tur'an
ג'ש (גוש חלב),57.05,NA,33.02216,35.44694,Jish
בית שמש,25.73,3.6,31.73072,34.99293,Bet Shemesh
אלון שבות,63.93,NA,31.654830,35.127880,Alon Shvut
כפר יונה,55.20,NA,32.31669,34.93507,Kefar Yona
כפר קאסם,39.17,NA,32.11406,34.97624,Kafr Qasim
סביון,78.22,0.0,32.04966,34.8777,Savyon
שעב,49.82,0.0,32.890570,35.241560,Sha'ab
אבן יהודה,64.58,0.0,32.26959,34.88759,Even Yehuda
קצר א-סר,5.15,0.0,31.0793738,34.9848798,Qasr A-Sir
אעבלין,48.52,0.0,32.82233,35.19271,I'billin
טירת כרמל,61.11,NA,32.76021,34.97183,Tirat Karmel
קודייראת א-צאנע(שבט),2.36,NA,31.2936608,35.1074123,Qudeirat As-Sani
שמשית,73.79,0.0,32.73137,35.24409,Shimshit
קרית טבעון,64.08,0.0,32.71618,35.12494,Qiryat Tiv'on
שבלי - אום אל-גנם,53.74,NA,32.68395,35.39621,Shibli-Umm al-Ghanam
פוריידיס,49.57,NA,32.59812,34.95153,El Fureidis
חיפה,62.33,2.2,32.81841,34.9885,Haifa
נתניה,55.58,2.7,32.33291,34.85992,Netanya
ראש העין,54.60,NA,32.09556,34.95664,Rosh Ha'Ayin
פתח תקווה,59.43,2.6,32.08707,34.88747,Petah Tiqwa
בני ברק,25.14,1.1,32.08074,34.8338,Bnei Brak
חשמונאים,84.40,NA,31.92973,35.0215,Hashmonaim
קרית שמונה,62.71,NA,33.20733,35.57212,Qiryat Shemona
ערערה,35.88,NA,31.16046,35.02274,'Ar'ara BaNegev
כפר האורנים,63.84,0.0,31.91982,35.03669,Kfar NaOranim
חורה,15.87,NA,31.30084,34.93606,Hura
פקיעין (בוקייעה),50.69,NA,32.97747,35.33345,Buqei`a
