city,perc_first_dose,vax_rate,active_cases,active,city_rank,city_code,city_eng,Geoname ID,Name,Alternate Names,lat,long,Feature Class,Feature Code,Country Code,Country Code 2,Admin1 Code,Admin2 Code,Admin3 Code,Admin4 Code,Population,Elevation,DIgital Elevation Model,Timezone,Modification date,Country,Coordinates,...22,city2
ירכא,50.22,42.28,קטן מ-15,NA,2.2,502,YIRKA,293181,Yirkā,"Arki,Yarka,Yarkah,Yirka,Yirkā,yirekaʼ,yrka,yrka‎,יִרְכָּא,ירכא,يركا,يركا‎",32.95435,35.21197,P,PPL,IL,NA,03,NA,NA,NA,17003,NA,339,Asia/Jerusalem,2020-06-10T00:00:00Z,Israel,"32.95435, 35.21197",NA,Yirka
חורפיש,60.89,54.02,0,0.0,2,496,HURFEISH,294666,Ḥurfeish,"Hourfeich,Hurfaysh,Hurfeish,H̱urfeish,hrpys,hwrpys,חורפיש,חרפיש,Ḥurfeish",33.01711,35.34835,P,PPL,IL,NA,03,NA,NA,NA,5308,NA,657,Asia/Jerusalem,2020-06-10T00:00:00Z,Israel,"33.01711, 35.34835",NA,Hurfeish
עתלית,54.28,52.40,0,0.0,2,53,ATLIT,295613,Atlit,"Athlit,Atlit,`Athlit,`Athlith,`Atlit,עתלית,‘Athlīt,‘Athlīth,‘Atlit",32.68889,34.94236,P,PPL,IL,NA,04,NA,NA,NA,4500,NA,22,Asia/Jerusalem,2017-11-10T00:00:00Z,Israel,"32.68889, 34.94236",NA,Atlit
תל מונד,69.91,67.30,קטן מ-15,NA,2,154,TEL MOND,293354,Tel Mond,"Tel Mond,tl mwnd,תל מונד",32.24995,34.91737,P,PPL,IL,NA,02,NA,NA,NA,8725,NA,68,Asia/Jerusalem,2017-07-02T00:00:00Z,Israel,"32.24995, 34.91737",NA,Tel Mond
כפר ורדים,75.16,73.05,0,0.0,2.2,1263,KEFAR WERADIM,386445,Kefar Weradim,"Kefar Veradim,Kefar Weradim,Kfar Vradim,kpr wrdym,כפר ורדים",32.99385,35.27793,P,PPL,IL,NA,03,NA,NA,NA,5608,NA,629,Asia/Jerusalem,2018-04-15T00:00:00Z,Israel,"32.99385, 35.27793",NA,Kefar Weradim
סאג'ור,59.59,54.43,קטן מ-15,NA,5.3,525,SAJUR,293657,Sājūr,"Sajur,Sajūr,Shezor,Sājūr,sag'wr,sajwr,sajwr‎,sg'wr,סָג'וּר,סג’ור,ساجور,ساجور‎",32.94266,35.34136,P,PPL,IL,NA,03,NA,NA,NA,3547,NA,375,Asia/Jerusalem,2020-06-10T00:00:00Z,Israel,"32.94266, 35.34136",NA,Sajur
בית שמש,29.38,25.73,47,3.6,2.4,2610,BET SHEMESH,295432,Bet Shemesh,"Beit Semes,Beit Şemeș,Beit-Shemesh,Bejt-Shemesh,Bet Schemesch,Bet Shemesh,Betxemeix,Betxèmeix,Maabarat Hartuv,byt sms,Бейт-Шемеш,בית שמש",31.73072,34.99293,P,PPL,IL,NA,06,NA,NA,NA,67100,NA,282,Asia/Jerusalem,2017-07-02T00:00:00Z,Israel,"31.73072, 34.99293",NA,Bet Shemesh
כפר יונה,57.54,55.20,קטן מ-15,NA,1.5,168,KEFAR YONA,294492,Kefar Yona,"Kefar Yona,Kefar Yonah,Kfar Yona,kpr ywnh,כפר יונה",32.31669,34.93507,P,PPL,IL,NA,02,NA,NA,NA,21611,NA,59,Asia/Jerusalem,2017-07-02T00:00:00Z,Israel,"32.31669, 34.93507",NA,Kefar Yona
אבן יהודה,66.95,64.58,0,0.0,2,182,EVEN YEHUDA,295122,Even Yehuda,"Even Yahuda,Even Yehuda,Even Yehudah,ʼbn yhwdh,אבן יהודה",32.26959,34.88759,P,PPL,IL,NA,02,NA,NA,NA,15221,NA,49,Asia/Jerusalem,2017-07-02T00:00:00Z,Israel,"32.26959, 34.88759",NA,Even Yehuda
אעבלין,53.16,48.52,0,0.0,2,529,I'BILLIN,294663,I‘billīn,"Evlayim,I'billin,I`billin,I‘billīn,Oblin,אבלים,אעבלין",32.82233,35.19271,P,PPL,IL,NA,03,NA,NA,NA,13128,NA,148,Asia/Jerusalem,2020-06-10T00:00:00Z,Israel,"32.82233, 35.19271",NA,I'billin
טירת כרמל,64.17,61.11,קטן מ-15,NA,1.9,2100,TIRAT KARMEL,293308,Tirat Karmel,"At Tira,Tira,Tirah,Tirat Carmel,Tirat Hakarmel,Tirat Karmel,Tirat Karmel',Tirat KhaKarmel',Tire,tyrt krml,Тират Кармель,Тират ХаКармель,טירת כרמל",32.76021,34.97183,P,PPL,IL,NA,04,NA,NA,NA,18993,NA,47,Asia/Jerusalem,2017-07-05T00:00:00Z,Israel,"32.76021, 34.97183",NA,Tirat Karmel
שמשית,75.73,73.79,0,0.0,2,1337,SHIMSHIT,8264691,Shimshit,"Shimshit,simesiyt,smsyt,symsyt,שִׁמְשִׁית,שימשית,שמשית",32.73137,35.24409,P,PPL,IL,NA,03,NA,NA,NA,2547,NA,217,Asia/Jerusalem,2020-04-30T00:00:00Z,Israel,"32.73137, 35.24409",NA,Shimshit
שבלי - אום אל-גנם,59.54,53.74,קטן מ-15,NA,2,913,SHIBLI-UMM AL-GHANAM,12156807,Shibli–Umm al-Ghanam,"alshbly - am alghnm,sbly - ʼwm ʼl-gnm,sibeliy-ʼum ʼl-ʻa'nam,שִׁבְּלִי-אֻם אל-עַ'נַם,שבלי - אום אל-גנם,الشبلي - أم الغنم",32.68395,35.39621,P,PPL,IL,NA,03,NA,NA,NA,5995,NA,568,Asia/Jerusalem,2020-04-30T00:00:00Z,Israel,"32.68395, 35.39621",NA,Shibli-Umm al-Ghanam
חיפה,65.41,62.33,64,2.2,1.2,4000,HAIFA,294801,Haifa,"Aifa,Caiffa,Chaifa,HFA,Haifa,Hajfa,Hajfo,Hayfa,Haífa,Haïfa,Hefa,Heifa,Heifā,Hepha,Heyfa,H̱efa,Khajfa,Khajfae,Lungsod ng Hefa,Lungsod ng Ḥefa,ha'ipha,hai fa,haifa,haipa,haipha,hifa,hph,hyfa,hyph,jhfyt,kaihpa,khaipa,Ĥajfo,Χάιφα,Хайфæ,Хайфа,Хајфа,Հայֆա,חיפה,חפה,جحفية,حيفا,حیفا,حەیفا,ܚܝܦܐ,हाइफा,हैफ़ा,हैफा,கைஃபா,ಹೈಫ,ഹൈഫ,ไฮฟา,ხაიფა,Ḥeyfa,ハイファ,海法,하이파",32.81841,34.9885,P,PPLA,IL,NA,04,NA,NA,NA,267300,NA,40,Asia/Jerusalem,2019-09-05T00:00:00Z,Israel,"32.81841, 34.9885",NA,Haifa
נתניה,59.07,55.58,60,2.7,1.1,7400,NETANYA,294071,Netanya,"Lungsod ng Ntanya,Natania,Natanya,Nathanya,Netan'ja,Netania,Netanija,Netanja,Netanya,Netánja,Ntanya,na ta neiy,nattaniya,nei tan ya,netaniya,netanya,ntanya,ntnyh,Νετάνια,Нетания,Нетанья,Нетаня,Нетанія,Нетанја,נתניה,نتانيا,نتانیا,நத்தானியா,นาตาเนีย,ネタニヤ,内坦亚,네타냐",32.33291,34.85992,P,PPL,IL,NA,02,NA,NA,NA,171676,NA,38,Asia/Jerusalem,2019-09-05T00:00:00Z,Israel,"32.33291, 34.85992",NA,Netanya
פתח תקווה,62.87,59.43,65,2.6,2.2,7900,PETAH TIQWA,293918,Petaẖ Tiqwa,"Mulebbis,Petach Tikva,Petah Tikva,Petah Tikwah,Petah Tiqwa,Petaẖ Tikva,Petaẖ Tiqwa,Pethah Tiqva,Pethah Tiqvā,Tigrah,pth tqwh,pth tqwwh,pth tyqwh,pth tyqwwh,פתח תיקוה,פתח תיקווה,פתח תקוה,פתח תקווה",32.08707,34.88747,P,PPL,IL,NA,02,NA,NA,NA,200000,NA,54,Asia/Jerusalem,2020-06-10T00:00:00Z,Israel,"32.08707, 34.88747",NA,Petah Tiqwa
חורה,19.50,15.87,קטן מ-15,NA,2.2,1303,HURA,8374209,H̱ura,"Hura,H̱ura,H̱ūra,hwrh,hwrt‎,חורה,حورة‎",31.30084,34.93606,P,PPL,IL,NA,01,NA,NA,NA,21558,NA,425,Asia/Jerusalem,2020-04-24T00:00:00Z,Israel,"31.30084, 34.93606",NA,Hura
להבים,75.08,73.17,0,0.0,2.3,1271,LEHAVIM,6693244,Lehavim,"Lehavim,lhbym,להבים",31.37284,34.81619,P,PPL,IL,NA,01,NA,NA,NA,6000,260,317,Asia/Jerusalem,2017-07-02T00:00:00Z,Israel,"31.37284, 34.81619",NA,Lehavim
מג'דל שמס,56.35,48.11,קטן מ-15,NA,3.5,4201,MAJDAL SHAMS,167444,Majdal Shams,"Madzdal Sams,Madzdal Szams,Madzhdal'-Shams,Madżdal Szams,Madždal Šams,Majd el Chams,Majdal Shams,Majdal-esh-Shems,Majdel Chams,mage'dal sames,mg'dl sms,mgdl sms,mjdl alshms,mjdl shms,mjdl shms.‎,Мадждаль-Шамс,מַגְ'דַל שַׁמְס,מגדל שמס,מג’דל שמס,مجدل الشمس,مجدل شمس,مجدل شمس.‎",33.27029,35.7716,P,PPL,IL,NA,03,NA,NA,NA,11044,NA,1183,Asia/Jerusalem,2020-04-26T00:00:00Z,Israel,"33.27029, 35.7716",NA,Majdal Shams
רמת השרון,69.58,67.56,קטן מ-15,NA,0.7,2650,RAMAT HASHARON,293783,Ramat HaSharon,"'Ir Shalom,Ramat Ha-Sharon,Ramat HaSharon,Ramat Hasaronas,Ramat Hash Sharon,Ramat Hasharon,Ramat Hasjaron,Ramat Hašaronas,Ramat ha-Saron,Ramat ha-Szaron,Ramat ha-Xaron,Ramat ha-Šaron,Ramat haScharon,Ramat-kha-Sharon,la ma te sha long,lamateuhasyalon,ramat hasharwn,ramat-hasharoni,rmt hsharwn,rmt hsrwn,Рамат-ха-Шарон,רמת השרון,رامات هاشارون,رمت هشارون,رمت ہشارون,რამათ-ჰაშარონი,‘Ir Shalom,拉马特沙龙,라마트하샤론",32.14613,34.8394,P,PPL,IL,NA,05,NA,NA,NA,36137,NA,68,Asia/Jerusalem,2017-07-02T00:00:00Z,Israel,"32.14613, 34.8394",NA,Ramat HaSharon
שוהם,75.56,72.91,קטן מ-15,NA,2.3,1304,SHOHAM,8428283,Shoham,"Shoham,shm,swhm,שהם,שוהם",31.99866,34.94559,P,PPL,IL,NA,02,NA,NA,NA,20740,NA,82,Asia/Jerusalem,2018-12-04T00:00:00Z,Israel,"31.99866, 34.94559",NA,Shoham
ירוחם,55.73,52.26,0,0.0,2,831,YEROHAM,293203,Yeroẖam,"Kefar Yeroham,Kfar Yeroham,Yeroham,Yeroẖam,Yeruham,yrhm,yrwhm,ירוחם,ירחם",30.98822,34.93176,P,PPL,IL,NA,01,NA,NA,NA,8631,NA,499,Asia/Jerusalem,2020-06-10T00:00:00Z,Israel,"30.98822, 34.93176",NA,Yeroham
אשדוד,57.47,53.03,93,4.1,3.6,70,ASHDOD,295629,Ashdod,"Aschdod,Asdod,Asdodas,Asdode,Asdód,Ashdod,Ashdod Yam,Ashdod on the Sea,Asjdod,Asntont,Asot,Aszdod,Axdod,Azotus,Aŝdod,Aşdod,Ašdod,Ašdodas,Așdod,Ukreir,a shen du de,asdead,ashdodi,ashdwd,ashudoddo,astotu,asyudodeu,ʼsdwd,Ασντόντ,Ашдод,Աշդոդ,אשדוד,أشدود,اشدود,அஸ்தோது,അഷ്ദോദ്,აშდოდი,アシュドッド,阿什杜德,아슈도드",31.79213,34.64966,P,PPL,IL,NA,01,NA,NA,NA,224656,NA,27,Asia/Jerusalem,2020-10-24T00:00:00Z,Israel,"31.79213, 34.64966",NA,Ashdod
אופקים,51.53,47.27,קטן מ-15,NA,1.7,31,OFAQIM,293992,Ofaqim,"Ofakim,Ofaqim,Ofiqim,ʼwpqym,אופקים,אפקים",31.3141,34.62025,P,PPL,IL,NA,01,NA,NA,NA,24311,NA,137,Asia/Jerusalem,2017-07-02T00:00:00Z,Israel,"31.3141, 34.62025",NA,Ofaqim
