city,perc_first_dose,perc_second_dose,active_cases,active_per_10000,city_rank
אל סייד,9.61,7.67,קטן מ-15,NA,3.7
ירכא,50.22,42.28,קטן מ-15,NA,2.2
חורפיש,60.89,54.02,0,0.0,2
אבו רוקייק (שבט),5.86,4.39,קטן מ-15,NA,4.6
כפר ברא,50.03,43.38,0,0.0,2
עתלית,54.28,52.40,0,0.0,2
הוואשלה (שבט),6.00,4.51,0,0.0,2
שייח' דנון,54.90,50.07,0,0.0,2.3
תל מונד,69.91,67.30,קטן מ-15,NA,2
כפר ורדים,75.16,73.05,0,0.0,2.2
סייד (שבט),6.94,4.53,קטן מ-15,NA,3.1
סאג'ור,59.59,54.43,קטן מ-15,NA,5.3
טורעאן,54.40,49.17,קטן מ-15,NA,2.8
ג'ש (גוש חלב),60.99,57.05,קטן מ-15,NA,3.6
בית שמש,29.38,25.73,47,3.6,2.4
אלון שבות,67.25,63.93,קטן מ-15,NA,3.1
כפר יונה,57.54,55.20,קטן מ-15,NA,1.5
כפר קאסם,47.39,39.17,קטן מ-15,NA,2.5
סביון,81.71,78.22,0,0.0,2
קצרין,60.58,57.93,קטן מ-15,NA,2.3
שעב,55.85,49.82,0,0.0,2
אבן יהודה,66.95,64.58,0,0.0,2
קצר א-סר,6.15,5.15,0,0.0,2
אעבלין,53.16,48.52,0,0.0,2
טירת כרמל,64.17,61.11,קטן מ-15,NA,1.9
קודייראת א-צאנע(שבט),3.10,2.36,קטן מ-15,NA,3.8
שמשית,75.73,73.79,0,0.0,2
קרית טבעון,65.98,64.08,0,0.0,2
שבלי - אום אל-גנם,59.54,53.74,קטן מ-15,NA,2
פוריידיס,54.80,49.57,קטן מ-15,NA,3.2
חיפה,65.41,62.33,64,2.2,1.2
נתניה,59.07,55.58,60,2.7,1.1
ראש העין,57.50,54.60,קטן מ-15,NA,2
פתח תקווה,62.87,59.43,65,2.6,2.2
בני ברק,30.27,25.14,23,1.1,2.4
חשמונאים,90.39,84.40,קטן מ-15,NA,2
קרית שמונה,66.06,62.71,קטן מ-15,NA,1.9
ערערה,41.03,35.88,קטן מ-15,NA,1.8
כפר האורנים,66.01,63.84,0,0.0,2
חורה,19.50,15.87,קטן מ-15,NA,2.2
פקיעין (בוקייעה),55.94,50.69,קטן מ-15,NA,4.1
טובא-זנגריה,54.60,49.57,קטן מ-15,NA,3.8
להבים,75.08,73.17,0,0.0,2.3
גבעתיים,65.84,63.87,קטן מ-15,NA,1.3
מג'דל שמס,56.35,48.11,קטן מ-15,NA,3.5
רמת השרון,69.58,67.56,קטן מ-15,NA,0.7
פדואל,53.71,50.12,0,0.0,2.7
מסעדה,59.01,52.06,קטן מ-15,NA,2.8
כפר מצר,53.02,48.06,0,0.0,2.2
ביר אל-מכסור,57.29,53.24,0,0.0,2
שוהם,75.56,72.91,קטן מ-15,NA,2.3
שילה,34.63,32.43,קטן מ-15,NA,4.7
עכו,63.86,59.48,קטן מ-15,NA,0.7
ירוחם,55.73,52.26,0,0.0,2
אשדוד,57.47,53.03,93,4.1,3.6
מוקייבלה,56.30,48.18,קטן מ-15,NA,4.9
אופקים,51.53,47.27,קטן מ-15,NA,1.7
ג'ת,53.16,46.93,קטן מ-15,NA,2.3
בית ג'ן,54.93,47.55,קטן מ-15,NA,2.4
כאבול,47.92,43.41,קטן מ-15,NA,1.8
נווה דניאל,58.92,55.47,0,0.0,2.9
חספין,35.10,32.91,0,0.0,2
דאלית אל-כרמל,50.21,45.48,קטן מ-15,NA,2.1
כפר תבור,68.30,65.92,0,0.0,2
קרית יערים,35.22,30.58,קטן מ-15,NA,2
סלמה,51.78,47.07,קטן מ-15,NA,2.4
גבע בנימין,40.73,37.17,0,0.0,2
פסוטה,66.18,63.35,0,0.0,2
אום בטין,10.69,7.83,0,0.0,2.3
בית שאן,65.16,60.23,קטן מ-15,NA,3.2
אור יהודה,60.90,56.22,קטן מ-15,NA,2.9
"בסמ""ה",50.52,45.04,קטן מ-15,NA,3
חולון,62.83,59.82,41,2.1,0.9
אבטין,51.85,47.49,0,0.0,2
נצרת,54.80,49.02,40,5.1,2.4
גבעת אבני,77.69,74.66,0,0.0,2.3
יקיר,49.56,47.13,0,0.0,2
טבריה,54.63,50.79,קטן מ-15,NA,1.1
כאוכב אבו אל-היג'א,55.37,51.57,קטן מ-15,NA,2.3
ראשון לציון,66.30,63.36,25,1.0,0.2
טמרה,52.63,46.85,19,5.5,3.7
נחף,49.31,43.89,0,0.0,1.9
מייסר,56.00,51.05,0,0.0,2
זמר,53.07,46.89,קטן מ-15,NA,2.8
מבשרת ציון,68.62,65.51,קטן מ-15,NA,1.9
אכסאל,54.94,49.15,קטן מ-15,NA,2.1
רומת הייב,43.51,37.55,0,0.0,2
לפיד,75.22,73.01,0,0.0,2
עספיא,54.75,49.48,קטן מ-15,NA,2.8
יבנה,58.39,54.99,קטן מ-15,NA,2.8
אלעד,24.86,20.53,קטן מ-15,NA,2.3
יד בנימין,41.73,38.93,קטן מ-15,NA,2
בת חפר,74.23,71.45,0,0.0,2
עראבה,50.86,45.16,קטן מ-15,NA,3.5
נוף איילון,79.62,75.38,0,0.0,2
אבו ג'ווייעד (שבט),9.74,7.46,קטן מ-15,NA,3.7
קרית מוצקין,70.05,67.22,קטן מ-15,NA,1.5
פרדסיה,72.00,69.67,קטן מ-15,NA,2
שגב-שלום,23.23,19.26,16,14.1,5.5
עוזייר,52.44,48.39,קטן מ-15,NA,2
אורנית,68.49,66.65,קטן מ-15,NA,3.5
ברכה,35.91,32.55,0,0.0,2.2
זכרון יעקב,64.61,62.12,קטן מ-15,NA,1.4
נופית,76.00,74.04,0,0.0,2
נאעורה,57.57,53.39,קטן מ-15,NA,4.1
אבו סנאן,53.34,47.94,16,11.2,2.2
נהריה,69.90,66.63,קטן מ-15,NA,1.9
תל אביב - יפו,62.38,59.58,177,3.5,2
נעלה,49.89,47.36,0,0.0,2
רמת גן,63.82,61.35,23,1.4,1.8
עיילבון,59.37,55.08,קטן מ-15,NA,2.5
מצפה רמון,51.77,48.99,קטן מ-15,NA,2.6
יפיע,49.75,44.34,קטן מ-15,NA,2.3
הר אדר,73.88,71.69,0,0.0,2
גני תקווה,63.40,61.16,קטן מ-15,NA,1.4
לקיה,22.88,18.08,49,33.5,6.8
גדרה,56.97,54.28,קטן מ-15,NA,1
כסיפה,17.49,14.52,26,11.6,4.9
מעגן מיכאל,63.44,61.76,0,0.0,2
צפת,36.24,33.31,קטן מ-15,NA,2.9
פרדס חנה-כרכור,57.76,55.15,קטן מ-15,NA,2.3
הוד השרון,66.18,64.02,קטן מ-15,NA,1.8
קיסריה,73.30,70.52,0,0.0,2
גני מודיעין,27.76,25.14,0,0.0,2
אריאל,58.47,55.55,קטן מ-15,NA,2.3
מגאר,59.20,54.13,25,10.7,4.5
באר שבע,65.09,61.02,93,4.4,1.7
הושעיה,64.67,61.80,קטן מ-15,NA,3.5
קלנסווה,45.95,39.84,קטן מ-15,NA,3.8
כוכב יעקב,27.84,24.46,קטן מ-15,NA,2.1
שפרעם,55.95,51.18,קטן מ-15,NA,1.6
בת ים,64.24,60.44,33,2.6,1.2
גבעת שמואל,60.78,58.08,קטן מ-15,NA,2.1
שערי תקווה,59.48,56.98,0,0.0,2
דייר אל-אסד,53.34,46.67,קטן מ-15,NA,2.6
אשקלון,59.71,56.01,33,2.3,1.3
יהוד,67.81,64.76,קטן מ-15,NA,1.9
רמת ישי,67.93,66.02,קטן מ-15,NA,2
אבו קורינאת (שבט),3.90,2.82,קטן מ-15,NA,5.7
קרית אתא,64.77,61.30,קטן מ-15,NA,1.1
עין קנייא,65.33,58.66,קטן מ-15,NA,4.5
מעיליא,60.37,56.27,קטן מ-15,NA,2
אור עקיבא,61.92,57.97,קטן מ-15,NA,3.7
בית יצחק-שער חפר,69.31,66.88,0,0.0,2
אבו גוש,61.37,53.60,22,28.0,3.8
באר יעקב,52.65,49.58,קטן מ-15,NA,1.8
מגדל העמק,61.52,58.12,קטן מ-15,NA,1.5
ערד,63.95,58.33,קטן מ-15,NA,1.8
פסגות,46.26,43.40,0,0.0,2
אבו תלול,6.66,5.77,קטן מ-15,NA,4.3
קרית ים,67.23,63.83,קטן מ-15,NA,2
אפרת,58.41,55.34,קטן מ-15,NA,3.4
"כפר חב""ד",37.43,32.67,קטן מ-15,NA,3.7
מסעודין אל-עזאזמה,4.88,3.72,16,9.0,5
קרני שומרון,54.36,51.61,קטן מ-15,NA,2.1
תל שבע,25.39,21.17,24,11.1,5.3
"בני עי""ש",63.31,60.03,0,0.0,2
רחובות,59.15,56.18,24,1.6,1.3
מבוא חורון,37.23,34.77,0,0.0,2
גן נר,74.41,71.67,0,0.0,2
מזכרת בתיה,67.71,65.17,קטן מ-15,NA,1.8
עפולה,59.20,55.83,קטן מ-15,NA,0.8
ביר הדאג',2.00,1.52,קטן מ-15,NA,3.8
צור יצחק,51.44,50.05,קטן מ-15,NA,2.1
קרית ארבע,47.32,44.11,קטן מ-15,NA,3.6
גן יבנה,63.21,60.17,קטן מ-15,NA,1.3
אבו רובייעה (שבט),2.54,1.84,קטן מ-15,NA,3.9
עילוט,45.96,39.85,קטן מ-15,NA,2.6
אום אל-פחם,49.65,43.39,39,6.9,2.8
ג'סר א-זרקא,54.00,48.03,קטן מ-15,NA,2.2
גבעת ברנר,61.24,59.70,0,0.0,2
תפרח,30.27,23.32,קטן מ-15,NA,2
קרית מלאכי,48.99,43.70,קטן מ-15,NA,1.1
אילת,65.85,62.07,22,4.2,1.7
אעצם (שבט),6.19,4.65,קטן מ-15,NA,3.7
אטרש (שבט),7.67,5.67,קטן מ-15,NA,4.9
בית חשמונאי,66.88,64.50,0,0.0,2
כוכב יאיר,83.66,81.43,0,0.0,2
ניצן,54.81,50.79,קטן מ-15,NA,4.3
כפר יאסיף,59.53,54.53,0,0.0,2.3
אזור,56.69,53.70,קטן מ-15,NA,1.9
לוד,52.19,47.20,30,3.7,0.9
כפר מנדא,47.47,40.81,קטן מ-15,NA,2.1
ג'לג'וליה,47.50,40.77,קטן מ-15,NA,2
רכסים,31.37,26.22,קטן מ-15,NA,1.9
מעלה עירון,47.83,42.34,17,11.1,4.6
עלי זהב,40.02,38.24,0,0.0,2.6
מיתר,70.39,68.64,קטן מ-15,NA,2.9
תקוע,38.94,37.01,קטן מ-15,NA,4.7
כפר כמא,64.58,61.51,0,0.0,2
טלמון,44.35,42.07,קטן מ-15,NA,2.7
צור הדסה,48.20,45.92,קטן מ-15,NA,2.1
בית אל,50.15,47.01,קטן מ-15,NA,2.5
קרית עקרון,60.59,56.97,קטן מ-15,NA,2.8
הרצליה,68.71,66.29,24,2.4,2.1
בסמת טבעון,48.48,44.81,קטן מ-15,NA,2.2
אחוזת ברק,69.47,66.47,0,0.0,2
בוקעאתא,62.81,50.59,16,24.0,6.6
נס ציונה,61.44,59.20,קטן מ-15,NA,3.2
דייר חנא,56.14,50.26,קטן מ-15,NA,2
חדרה,60.85,57.54,קטן מ-15,NA,0.2
עץ אפרים,48.38,45.95,0,0.0,2
כרמיאל,67.46,64.49,קטן מ-15,NA,0.7
טייבה,45.15,40.03,53,11.9,4.1
טירה,50.48,44.27,קטן מ-15,NA,2.9
זרזיר,49.82,45.22,קטן מ-15,NA,2
כעביה-טבאש-חג'אג'רה,48.32,43.52,קטן מ-15,NA,2.9
קציר,55.56,53.67,0,0.0,2
רהט,34.51,28.55,85,11.5,3.7
בענה,49.70,42.61,קטן מ-15,NA,5
ריינה,41.54,37.13,קטן מ-15,NA,3.3
מג'ד אל-כרום,51.11,44.10,קטן מ-15,NA,2.3
משהד,50.96,45.20,קטן מ-15,NA,4.4
רמלה,55.37,50.27,17,2.2,1.5
עלי,44.10,42.10,קטן מ-15,NA,2.2
בית אריה,59.57,57.08,0,0.0,2
אלפי מנשה,66.80,64.82,קטן מ-15,NA,2.2
גבעת זאב,46.06,41.42,קטן מ-15,NA,2.2
כפר קרע,54.79,49.22,קטן מ-15,NA,2.4
יקנעם עילית,65.16,62.64,קטן מ-15,NA,2.4
נוקדים,35.80,33.98,0,0.0,2.7
באקה אל-גרביה,51.79,46.02,קטן מ-15,NA,3.2
יבנאל,33.65,30.85,קטן מ-15,NA,3.2
עומר,83.25,80.35,0,0.0,2
נשר,66.06,63.39,קטן מ-15,NA,2.5
ג'דיידה-מכר,55.19,49.09,קטן מ-15,NA,3
כוכב השחר,45.46,42.55,קטן מ-15,NA,2.7
שתולים,59.82,56.00,0,0.0,2
צופים,53.89,51.10,0,0.0,2
אבני חפץ,44.30,40.60,0,0.0,2
יאנוח-ג'ת,55.73,49.49,קטן מ-15,NA,2
שלומי,62.53,59.72,0,0.0,2
ג'ולס,63.13,56.99,קטן מ-15,NA,2.1
כפר סבא,68.29,66.13,17,1.7,1.9
רעננה,72.13,69.58,18,2.3,2.5
אליכין,63.30,60.07,0,0.0,2.5
מעגלים,47.87,43.80,0,0.0,2
חצור הגלילית,59.64,55.48,קטן מ-15,NA,3.8
צור משה,53.96,51.97,0,0.0,2
בנימינה-גבעת עדה,60.99,59.10,קטן מ-15,NA,2
בועיינה-נוג'ידאת,56.29,49.88,קטן מ-15,NA,2.5
מתן,68.29,66.47,0,0.0,2
כסרא-סמיע,56.24,49.75,קטן מ-15,NA,2.8
עין נקובא,39.64,32.08,0,0.0,2
עמנואל,21.03,18.16,0,0.0,2
קרית אונו,64.54,62.31,קטן מ-15,NA,1.8
נתיבות,42.48,37.95,קטן מ-15,NA,1.3
מזרעה,57.04,52.87,קטן מ-15,NA,2
חריש,38.93,36.30,קטן מ-15,NA,2.2
ברקת,36.44,31.83,קטן מ-15,NA,3.1
קרית גת,54.19,50.11,קטן מ-15,NA,1.4
ראמה,67.58,61.52,קטן מ-15,NA,3.5
מרכז שפירא,58.36,55.23,0,0.0,2
אלקנה,62.47,60.07,0,0.0,2
כפר אדומים,51.03,48.68,0,0.0,2
רבבה,45.20,41.28,0,0.0,2.3
קדימה-צורן,62.46,60.23,קטן מ-15,NA,2
נוף הגליל,64.33,60.51,קטן מ-15,NA,2.1
שדרות,54.06,50.19,קטן מ-15,NA,1.6
עין מאהל,54.74,47.26,קטן מ-15,NA,2.1
ע'ג'ר,46.84,43.69,0,0.0,2
ירושלים,45.31,39.97,467,4.9,1.6
ערערה-בנגב,24.78,18.93,22,11.6,4.2
בית דגן,60.61,57.60,קטן מ-15,NA,2.2
ראש פינה,60.53,58.06,קטן מ-15,NA,2.5
מודיעין-מכבים-רעות,65.10,62.68,קטן מ-15,NA,1.5
מעלה אדומים,63.67,60.16,קטן מ-15,NA,2.6
כפר כנא,53.31,47.94,קטן מ-15,NA,2.5
ביתר עילית,20.94,17.15,קטן מ-15,NA,2.4
מעלות-תרשיחא,64.04,60.62,קטן מ-15,NA,2
מצפה יריחו,40.97,38.32,0,0.0,2
דימונה,69.40,64.62,קטן מ-15,NA,1.6
