date,new_cases,first_dose,second_dose
2020-02-12,0,NA,NA
2020-02-13,0,NA,NA
2020-02-14,0,NA,NA
2020-02-15,0,NA,NA
2020-02-16,0,NA,NA
2020-02-17,0,NA,NA
2020-02-18,0,NA,NA
2020-02-19,0,NA,NA
2020-02-20,0,NA,NA
2020-02-21,1,NA,NA
2020-02-22,0,NA,NA
2020-02-23,0,NA,NA
2020-02-24,1,NA,NA
2020-02-25,0,NA,NA
2020-02-26,0,NA,NA
2020-02-27,1,NA,NA
2020-02-28,3,NA,NA
2020-02-29,0,NA,NA
2020-03-01,1,NA,NA
2020-03-02,5,NA,NA
2020-03-03,3,NA,NA
2020-03-04,0,NA,NA
2020-03-05,2,NA,NA
2020-03-06,4,NA,NA
2020-03-07,4,NA,NA
2020-03-08,9,NA,NA
2020-03-09,4,NA,NA
2020-03-10,33,NA,NA
2020-03-11,19,NA,NA
2020-03-12,22,NA,NA
2020-03-13,35,NA,NA
2020-03-14,29,NA,NA
2020-03-15,39,NA,NA
2020-03-16,73,NA,NA
2020-03-17,94,NA,NA
2020-03-18,125,NA,NA
2020-03-19,136,NA,NA
2020-03-20,168,NA,NA
2020-03-21,210,NA,NA
2020-03-22,254,NA,NA
2020-03-23,352,NA,NA
2020-03-24,423,NA,NA
2020-03-25,425,NA,NA
2020-03-26,520,NA,NA
2020-03-27,434,NA,NA
2020-03-28,479,NA,NA
2020-03-29,531,NA,NA
2020-03-30,548,NA,NA
2020-03-31,738,NA,NA
2020-04-01,703,NA,NA
2020-04-02,719,NA,NA
2020-04-03,598,NA,NA
2020-04-04,429,NA,NA
2020-04-05,583,NA,NA
2020-04-06,450,NA,NA
2020-04-07,377,NA,NA
2020-04-08,338,NA,NA
2020-04-09,343,NA,NA
2020-04-10,359,NA,NA
2020-04-11,345,NA,NA
2020-04-12,552,NA,NA
2020-04-13,438,NA,NA
2020-04-14,399,NA,NA
2020-04-15,311,NA,NA
2020-04-16,297,NA,NA
2020-04-17,298,NA,NA
2020-04-18,291,NA,NA
2020-04-19,276,NA,NA
2020-04-20,299,NA,NA
2020-04-21,282,NA,NA
2020-04-22,225,NA,NA
2020-04-23,276,NA,NA
2020-04-24,249,NA,NA
2020-04-25,159,NA,NA
2020-04-26,83,NA,NA
2020-04-27,128,NA,NA
2020-04-28,159,NA,NA
2020-04-29,82,NA,NA
2020-04-30,142,NA,NA
2020-05-01,116,NA,NA
2020-05-02,57,NA,NA
2020-05-03,27,NA,NA
2020-05-04,53,NA,NA
2020-05-05,32,NA,NA
2020-05-06,65,NA,NA
2020-05-07,61,NA,NA
2020-05-08,33,NA,NA
2020-05-09,20,NA,NA
2020-05-10,29,NA,NA
2020-05-11,39,NA,NA
2020-05-12,23,NA,NA
2020-05-13,39,NA,NA
2020-05-14,22,NA,NA
2020-05-15,12,NA,NA
2020-05-16,5,NA,NA
2020-05-17,15,NA,NA
2020-05-18,27,NA,NA
2020-05-19,22,NA,NA
2020-05-20,15,NA,NA
2020-05-21,17,NA,NA
2020-05-22,19,NA,NA
2020-05-23,5,NA,NA
2020-05-24,13,NA,NA
2020-05-25,22,NA,NA
2020-05-26,50,NA,NA
2020-05-27,40,NA,NA
2020-05-28,77,NA,NA
2020-05-29,113,NA,NA
2020-05-30,29,NA,NA
2020-05-31,87,NA,NA
2020-06-01,100,NA,NA
2020-06-02,121,NA,NA
2020-06-03,97,NA,NA
2020-06-04,142,NA,NA
2020-06-05,127,NA,NA
2020-06-06,78,NA,NA
2020-06-07,140,NA,NA
2020-06-08,179,NA,NA
2020-06-09,174,NA,NA
2020-06-10,240,NA,NA
2020-06-11,192,NA,NA
2020-06-12,184,NA,NA
2020-06-13,149,NA,NA
2020-06-14,136,NA,NA
2020-06-15,198,NA,NA
2020-06-16,300,NA,NA
2020-06-17,271,NA,NA
2020-06-18,302,NA,NA
2020-06-19,310,NA,NA
2020-06-20,161,NA,NA
2020-06-21,173,NA,NA
2020-06-22,345,NA,NA
2020-06-23,452,NA,NA
2020-06-24,487,NA,NA
2020-06-25,516,NA,NA
2020-06-26,464,NA,NA
2020-06-27,398,NA,NA
2020-06-28,385,NA,NA
2020-06-29,756,NA,NA
2020-06-30,786,NA,NA
2020-07-01,971,NA,NA
2020-07-02,1149,NA,NA
2020-07-03,939,NA,NA
2020-07-04,821,NA,NA
2020-07-05,831,NA,NA
2020-07-06,1134,NA,NA
2020-07-07,1390,NA,NA
2020-07-08,1327,NA,NA
2020-07-09,1524,NA,NA
2020-07-10,1410,NA,NA
2020-07-11,1168,NA,NA
2020-07-12,1239,NA,NA
2020-07-13,1720,NA,NA
2020-07-14,1603,NA,NA
2020-07-15,1877,NA,NA
2020-07-16,1937,NA,NA
2020-07-17,1605,NA,NA
2020-07-18,1448,NA,NA
2020-07-19,1016,NA,NA
2020-07-20,1887,NA,NA
2020-07-21,2006,NA,NA
2020-07-22,2044,NA,NA
2020-07-23,1989,NA,NA
2020-07-24,1830,NA,NA
2020-07-25,1112,NA,NA
2020-07-26,1042,NA,NA
2020-07-27,2048,NA,NA
2020-07-28,2125,NA,NA
2020-07-29,1954,NA,NA
2020-07-30,1787,NA,NA
2020-07-31,1362,NA,NA
2020-08-01,625,NA,NA
2020-08-02,708,NA,NA
2020-08-03,1800,NA,NA
2020-08-04,1729,NA,NA
2020-08-05,1690,NA,NA
2020-08-06,1677,NA,NA
2020-08-07,1765,NA,NA
2020-08-08,754,NA,NA
2020-08-09,924,NA,NA
2020-08-10,1704,NA,NA
2020-08-11,1823,NA,NA
2020-08-12,1622,NA,NA
2020-08-13,1643,NA,NA
2020-08-14,1388,NA,NA
2020-08-15,757,NA,NA
2020-08-16,1068,NA,NA
2020-08-17,1650,NA,NA
2020-08-18,1649,NA,NA
2020-08-19,1641,NA,NA
2020-08-20,1487,NA,NA
2020-08-21,1493,NA,NA
2020-08-22,711,NA,NA
2020-08-23,965,NA,NA
2020-08-24,1900,NA,NA
2020-08-25,1956,NA,NA
2020-08-26,1954,NA,NA
2020-08-27,2072,NA,NA
2020-08-28,1832,NA,NA
2020-08-29,910,NA,NA
2020-08-30,1101,NA,NA
2020-08-31,2178,NA,NA
2020-09-01,2253,NA,NA
2020-09-02,3192,NA,NA
2020-09-03,2661,NA,NA
2020-09-04,2623,NA,NA
2020-09-05,1505,NA,NA
2020-09-06,2177,NA,NA
2020-09-07,3388,NA,NA
2020-09-08,3489,NA,NA
2020-09-09,3994,NA,NA
2020-09-10,4161,NA,NA
2020-09-11,3976,NA,NA
2020-09-12,2719,NA,NA
2020-09-13,3175,NA,NA
2020-09-14,4812,NA,NA
2020-09-15,5539,NA,NA
2020-09-16,4574,NA,NA
2020-09-17,5386,NA,NA
2020-09-18,5340,NA,NA
2020-09-19,3809,NA,NA
2020-09-20,2579,NA,NA
2020-09-21,3867,NA,NA
2020-09-22,7023,NA,NA
2020-09-23,7127,NA,NA
2020-09-24,8235,NA,NA
2020-09-25,8390,NA,NA
2020-09-26,5882,NA,NA
2020-09-27,3419,NA,NA
2020-09-28,1159,NA,NA
2020-09-29,4993,NA,NA
2020-09-30,9078,NA,NA
2020-10-01,7731,NA,NA
2020-10-02,7059,NA,NA
2020-10-03,2595,NA,NA
2020-10-04,2938,NA,NA
2020-10-05,5721,NA,NA
2020-10-06,4724,NA,NA
2020-10-07,4164,NA,NA
2020-10-08,3756,NA,NA
2020-10-09,2964,NA,NA
2020-10-10,917,NA,NA
2020-10-11,1646,NA,NA
2020-10-12,3169,NA,NA
2020-10-13,2336,NA,NA
2020-10-14,2118,NA,NA
2020-10-15,1612,NA,NA
2020-10-16,1500,NA,NA
2020-10-17,412,NA,NA
2020-10-18,924,NA,NA
2020-10-19,1517,NA,NA
2020-10-20,1194,NA,NA
2020-10-21,1171,NA,NA
2020-10-22,1032,NA,NA
2020-10-23,849,NA,NA
2020-10-24,246,NA,NA
2020-10-25,606,NA,NA
